id,b,c,v,t
29003007,29,3,7,"Behold, I will stir them up out of the place where you have sold them, And will return your repayment on your own head;"
29003008,29,3,8,"And I will sell your sons and your daughters into the hands of the children of Judah, And they will sell them to the men of Sheba, To a faraway nation, For Yahweh has spoken it."""
29003009,29,3,9,Proclaim this among the nations: Prepare war. Stir up the mighty men. Let all the warriors draw near. Let them come up.
29003010,29,3,10,"Beat your plowshares into swords, And your pruning hooks into spears. Let the weak say, ""I am strong."""
29003011,29,3,11,"Hurry and come, all you surrounding nations, And gather yourselves together."" Cause your mighty ones to come down there, Yahweh."
29003012,29,3,12,"""Let the nations arouse themselves, And come up to the valley of Jehoshaphat; For there will I sit to judge all the surrounding nations."
29003013,29,3,13,"Put in the sickle; For the harvest is ripe. Come, tread, for the winepress is full, The vats overflow, for their wickedness is great."""
29003014,29,3,14,"Multitudes, multitudes in the valley of decision! For the day of Yahweh is near, in the valley of decision."
29003015,29,3,15,"The sun and the moon are darkened, And the stars withdraw their shining."""
29003016,29,3,16,"Yahweh will roar from Zion, And thunder from Jerusalem; And the heavens and the earth will shake; But Yahweh will be a refuge to his people, And a stronghold to the children of Israel."
29003017,29,3,17,"""So you will know that I am Yahweh, your God, Dwelling in Zion, my holy mountain. Then Jerusalem will be holy, And no strangers will pass through her any more."
29003018,29,3,18,"It will happen in that day, That the mountains will drop down sweet wine, The hills will flow with milk, All the brooks of Judah will flow with waters; And a fountain will come forth from the house of Yahweh, And will water the valley of Shittim."
29003019,29,3,19,"Egypt will be a desolation, And Edom will be a desolate wilderness, For the violence done to the children of Judah, Because they have shed innocent blood in their land."
29003020,29,3,20,"But Judah will be inhabited forever, And Jerusalem from generation to generation."
29003021,29,3,21,"I will cleanse their blood, That I have not cleansed: For Yahweh dwells in Zion."""
